Wikidata_QID,English_Label,Num_Languages,Total_Views_All_Langs,Languages,Top5_Languages_Detail
Q1072,Heart,174,27589720,"af, als, am, an, ang, ann, anp, ar, arc, as, ast, atj, av, ay, azb, ba, bat-smg, bdr, be, be-x-old, bew, bg, bh, bjn, bn, bo, br, bs, btm, bxr, ca, cbk-zam, cdo, ce, ceb, ckb, co, cs, cv, cy, diq, dv, el, eml, eo, es, et, eu, fa, fiu-vro, fj, fo, fy, ga, gcr, gl, gn, gom, ha, hak, hi, hif, hr, ht, hu, hy, hyw, ia, iba, id, ie, ilo, inh, io, is, jbo, jv, ka, kbp, kge, kk, kn, kv, kw, ky, la, lb, lbe, lfn, li, lmo, ln, lo, lt, lv, map-bms, mdf, mg, mhr, mk, mr, mrj, ms, mt, nah, nap, nds, ne, new, nn, nqo, nrm, oc, om, or, pa, pag, pam, pnb, ps, pt, qu, rki, rn, ro, roa-rup, rue, rw, sa, sah, sc, scn, sco, sd, se, shi, si, simple, sk, sl, sn, so, sq, su, sv, sw, szl, szy, ta, te, tg, th, ti, tr, trv, tt, tw, ug, ur, uz, vec, vep, vi, vls, vo, war, xal, xh, xmf, yi, yo, za, zgh, zh-min-nan","es:#22(6,208,596); fa:#38(2,085,079); ar:#21(1,932,884); hi:#7(1,635,140); pt:#40(1,577,868)"
Q7873,Blood,160,10586999,"als, am, ami, an, ang, ann, arc, as, ast, atj, av, az, azb, ba, ban, bar, bat-smg, bcl, be, be-x-old, bew, bh, bn, bo, br, bxr, ca, cbk-zam, cdo, ce, ceb, chr, ckb, cu, cv, cy, da, dag, diq, dv, el, eo, et, eu, ext, fiu-vro, fj, fo, frr, fur, fy, ga, gcr, gd, gl, gn, gom, gu, hak, hi, hif, hr, ht, hy, hyw, ia, iba, id, ie, ilo, inh, io, iu, jv, ka, kab, kbp, kge, kk, km, kn, knc, ku, kus, kw, ky, la, lb, lbe, li, lmo, ln, lt, lv, mad, mdf, mg, mhr, mk, mr, mt, my, nds, ne, new, nia, oc, om, or, pa, pam, pap, pnb, ps, qu, ro, roa-rup, rue, sa, sah, scn, sco, sd, se, shi, simple, sk, sl, sn, so, sq, sr, su, sw, szy, tcy, te, tg, th, tok, tt, tw, tyv, ug, ur, uz, vec, vep, vi, vls, vo, war, wo, xh, xmf, yi, yo, za, zh-min-nan, zu","hi:#21(1,154,056); id:#32(805,232); kk:#3(769,339); ro:#20(590,213); bn:#9(533,154)"
Q12199,HIV/AIDS,152,49925634,"af, als, am, anp, ar, ary, arz, as, az, ba, bat-smg, be, be-x-old, bg, blk, bm, bn, bo, br, bxr, cdo, ce, ckb, cv, cy, din, diq, dty, dv, el, en, eo, es, ext, fa, fiu-vro, fo, fr, fur, fy, ga, gan, gcr, gd, gn, gom, gor, gu, ha, hak, he, hi, hif, ht, hu, hy, ia, iba, id, ig, ilo, is, it, jam, jv, ka, kaa, kbp, kg, ki, kk, km, kn, ko, ks, ku, lb, lg, li, lmo, ln, lo, lt, lv, mad, mai, mhr, mk, mr, mt, nds-nl, ne, new, nl, nn, nv, oc, or, pa, pap, pcm, pnb, ps, qu, ro, rue, sa, sah, sc, scn, sco, sd, sh, shi, si, simple, sl, sn, so, sq, sr, su, sw, ta, te, tg, th, tk, tl, tly, ts, tt, tum, tw, ur, uz, ve, vec, vi, wa, war, wuu, xmf, yi, yo, za, zgh, zh, zh-classical, zh-min-nan, zh-yue, zu","en:#50(15,753,466); es:#33(5,288,734); zh:#5(3,725,505); ar:#10(2,558,263); fa:#20(2,512,415)"
Q84263196,COVID-19,143,44688859,"ami, an, ang, anp, ary, arz, as, ast, atj, av, awa, azb, bcl, be, be-x-old, bh, bjn, blk, bo, br, btm, bug, bxr, ca, cdo, chr, crh, cs, cu, cv, cy, dag, din, diq, dz, el, eml, en, eo, es, et, eu, ff, fr, frp, frr, fy, ga, gan, gl, gn, gor, gpe, gu, guc, guw, gv, ha, hak, haw, hif, ht, ia, is, it, iu, jv, kab, kcg, ki, km, kn, knc, ko, ks, ku, la, lb, li, lmo, ln, lo, mai, mhr, mi, min, ms, mzn, nds, nds-nl, nl, nr, nrm, ny, oc, or, pa, pap, pl, pnb, ps, pwn, qu, rm, roa-rup, sah, sc, sco, sd, shn, si, sk, sn, su, syl, szl, szy, tay, tcy, te, tet, tl, to, tok, tr, trv, ts, tt, tum, tw, ug, wa, war, wuu, xmf, yo, za, zgh, zh, zh-classical, zh-min-nan, zh-yue, zu","en:#47(16,034,479); es:#3(12,508,915); it:#8(3,315,600); zh:#14(2,752,599); fr:#36(2,534,544)"
Q5873,Sexual intercourse,136,175542463,"af, als, am, an, ar, ary, arz, as, ast, az, azb, ba, ban, bar, bcl, be, be-x-old, bg, bh, bn, bo, br, bs, btm, bxr, ca, cdo, ceb, ckb, cs, cu, cv, cy, da, de, diq, el, en, eo, es, et, eu, fa, fr, fy, ga, gan, gd, gl, glk, gn, hak, he, hi, hr, hsb, ht, hy, ia, id, ilo, io, is, it, iu, ja, jbo, jv, ka, kaa, kn, ko, ksh, ku, la, li, lmo, ln, lo, mad, mai, mg, mi, mr, ms, mt, my, mzn, ne, new, nl, nn, ny, om, or, pap, pl, ps, pt, qu, ro, ru, sa, sah, scn, sco, sd, sh, si, simple, sl, sn, sq, sr, sw, ta, te, th, tk, tl, tn, tr, tt, tum, ur, uz, vi, war, wuu, xmf, za, zh, zh-classical, zh-min-nan, zh-yue, zu","en:#1(43,759,801); fa:#1(32,634,745); ja:#1(20,499,417); de:#3(10,506,424); ru:#9(7,675,015)"
Q808,Virus,136,44725553,"als, am, an, ang, ar, arc, as, ast, az, azb, ba, bat-smg, bcl, be, be-x-old, bg, bh, bn, bo, bxr, ca, cdo, ckb, csb, cv, cy, dag, dv, es, et, eu, ext, fo, fr, frr, fy, ga, gcr, gl, gn, gor, gv, hak, he, hi, hif, hr, ht, hu, hy, hyw, ia, id, ie, ilo, inh, io, is, it, ja, jv, ka, kaa, kbp, ki, kk, ko, kw, ky, la, lb, lfn, lg, lij, lmo, ln, lo, lt, lv, mad, mg, min, mk, myv, nds, new, nl, nn, oc, om, pam, pap, pl, pnb, ps, pt, qu, rki, rn, ro, ru, rue, sah, scn, sco, sd, sh, si, simple, sk, sl, so, sq, sr, su, sv, tcy, tg, th, tok, tpi, tr, tt, tyv, ug, uz, vi, wa, war, xmf, yi, yo, za, zh, zh-classical, zh-min-nan","es:#9(9,416,377); ru:#32(5,656,117); ja:#45(2,642,464); it:#23(2,464,073); id:#1(2,366,997)"
Q12204,Tuberculosis,135,75860858,"af, als, am, an, anp, ar, arz, as, ast, awa, ay, az, ba, bat-smg, be, be-x-old, bg, bjn, blk, bm, bn, bo, br, bxr, ca, cs, cv, cy, da, dag, de, dty, el, en, es, et, eu, fi, fiu-vro, fo, fr, fy, gcr, gd, gl, gn, gpe, gu, gv, hak, he, hi, hif, hu, hy, hyw, ia, id, ilo, is, it, ja, jam, jv, ka, kbp, kk, kn, ko, ku, ky, lb, lfn, lg, li, lmo, ln, lo, lt, lv, mk, mr, mt, my, nah, ne, new, nl, no, nv, ny, or, pa, pl, pnb, ps, pt, qu, ro, ru, rue, sa, sah, sc, scn, si, sk, sl, smn, sq, sr, su, sv, sw, szl, ta, te, tg, th, tk, tl, trv, tt, tw, tyv, ur, uz, wa, war, wo, wuu, xh, yi, zh-min-nan, zh-yue","en:#12(25,907,588); de:#5(8,658,342); ru:#17(6,564,376); es:#27(5,707,584); it:#12(3,047,715)"
Q7186,Marie Curie,132,79479258,"als, alt, an, ann, arz, as, ay, azb, ba, ban, bar, bat-smg, bcl, be, bew, bh, bi, br, btm, bxr, ca, ce, ceb, crh, cs, csb, da, de, diq, dtp, dty, el, en, eo, es, eu, ext, fo, fr, frr, fy, ga, gan, gcr, gd, gl, gn, gpe, hak, he, hif, hr, ht, ia, iba, ilo, io, is, it, jam, jbo, kaa, kbp, km, kn, knc, ko, ks, ku, kw, lad, lb, lij, lmo, mad, mai, map-bms, mg, min, mt, my, mzn, nah, nds, nds-nl, ne, new, nl, nn, no, oc, olo, om, or, pa, pam, pcd, pl, pms, pnb, pt, qu, ro, roa-rup, rue, sa, sah, scn, sco, sd, si, simple, smn, sr, sv, tcy, te, th, tn, tok, tr, tyv, udm, vep, vi, vo, xmf, yi, yo, zea, zh-classical, zh-min-nan","en:#9(28,035,376); es:#1(15,404,214); fr:#1(8,685,766); pl:#1(5,940,082); de:#25(5,175,786)"
Q10876,Bacteria,129,24769339,"ace, als, am, anp, ar, arc, ary, as, ast, ay, az, azb, ba, bat-smg, bcl, be, be-x-old, bn, br, ca, cdo, ceb, chr, ckb, cs, cy, da, dv, eo, es, et, eu, ext, fiu-vro, fo, frr, fy, ga, gcr, gd, gl, gv, hak, he, hi, hif, hr, hsb, ht, hu, hy, ia, id, ilo, inh, io, is, jam, jv, ka, kaa, ki, kk, ko, ku, kw, ky, lfn, lg, li, lij, lld, lmo, lt, lv, mg, min, mk, mr, mzn, nap, nds, new, nl, nn, nrm, oc, om, pa, pap, pnb, ps, qu, ro, rue, rw, sa, sah, sc, scn, sco, sd, sh, si, simple, sk, sl, so, su, tg, th, tok, tr, tt, ur, uz, vec, vep, vi, vo, wa, war, wuu, xmf, yi, za, zh-classical, zh-min-nan, zu","es:#7(9,744,037); ar:#31(1,625,348); id:#7(1,396,722); hi:#14(1,332,281); kk:#1(880,747)"
Q9215,Sigmund Freud,128,71210707,"als, am, an, ar, arc, arz, ay, azb, ba, bar, bat-smg, bcl, be, be-x-old, bew, bh, br, btm, bxr, ca, cdo, ce, chr, ckb, co, crh, cs, cv, da, de, diq, el, en, eo, es, eu, ext, fa, fo, fr, fur, fy, ga, gan, gcr, gd, gl, gom, gv, haw, he, hif, hr, ht, ia, ie, ilo, io, is, it, jam, jbo, jv, ka, kaa, kab, kbp, km, knc, ko, koi, ku, kw, lb, lfn, li, lij, mad, map-bms, mg, mwl, myv, mzn, nds-nl, new, nl, no, nrm, os, pa, pag, pam, pl, pms, pnb, ps, pt, qu, ro, roa-rup, ru, rue, sah, sc, scn, sco, se, shi, si, sl, sv, szl, szy, tr, tt, ug, ur, vep, vo, war, xmf, yi, yo, za, zea, zgh, zh, zh-min-nan","en:#17(23,405,623); es:#5(10,759,680); de:#17(5,878,680); ru:#37(5,401,876); fr:#12(3,855,851)"
